Date,Close/Last,Volume,Open,High,Low,Day
"45,712.00",247.10,"51,326,400.00",244.93,248.86,244.42,0
"45,709.00",245.55,"53,197,430.00",245.95,248.69,245.22,1
"45,708.00",245.83,"32,316,910.00",244.94,246.78,244.29,2
"45,707.00",244.87,"32,204,220.00",244.66,246.01,243.16,3
"45,706.00",244.47,"48,822,490.00",244.15,245.18,241.84,4
"45,702.00",244.60,"40,896,230.00",241.25,245.55,240.99,5
"45,701.00",241.53,"53,614,050.00",236.91,242.34,235.57,6
"45,700.00",236.87,"45,243,290.00",231.20,236.96,230.68,7
"45,699.00",232.62,"53,718,360.00",228.20,235.23,228.13,8
"45,698.00",227.65,"33,115,650.00",229.57,230.59,227.20,9
"45,695.00",227.63,"39,707,220.00",232.60,234.00,227.26,10
"45,694.00",233.22,"29,925,350.00",231.29,233.80,230.43,11
"45,693.00",232.47,"39,664,990.00",228.53,232.67,228.27,12
"45,692.00",232.80,"45,067,300.00",227.25,233.13,226.65,13
"45,691.00",228.01,"73,063,300.00",229.99,231.83,225.70,14
"45,688.00",236.00,"101,075,100.00",247.19,247.19,233.44,15
"45,687.00",237.59,"55,658,280.00",238.67,240.79,237.21,16
"45,686.00",239.36,"45,486,100.00",234.12,239.86,234.01,17
"45,685.00",238.26,"75,707,570.00",230.85,240.19,230.81,18
"45,684.00",229.86,"94,863,420.00",224.02,232.15,223.98,19
"45,681.00",222.78,"54,697,910.00",224.78,225.63,221.41,20
"45,680.00",223.66,"60,234,760.00",224.74,227.03,222.30,21
"45,679.00",223.83,"64,126,500.00",219.79,224.12,219.79,22
"45,678.00",222.64,"98,070,430.00",224.00,224.42,219.38,23
"45,674.00",229.98,"68,488,300.00",232.12,232.29,228.48,24
"45,673.00",228.26,"71,759,050.00",237.35,238.01,228.03,25
"45,672.00",237.87,"39,831,970.00",234.64,238.96,234.43,26
"45,671.00",233.28,"39,435,290.00",234.75,236.12,232.47,27
"45,670.00",234.40,"49,630,730.00",233.53,234.67,229.72,28
"45,667.00",236.85,"61,710,860.00",240.01,240.16,233.00,29
"45,665.00",242.70,"37,628,940.00",241.92,243.71,240.05,30
"45,664.00",242.21,"40,855,960.00",242.98,245.55,241.35,31
"45,663.00",245.00,"45,045,570.00",244.31,247.33,243.20,32
"45,660.00",243.36,"40,244,110.00",243.36,244.18,241.89,33
"45,659.00",243.85,"55,740,730.00",248.93,249.10,241.82,34
"45,657.00",250.42,"39,480,720.00",252.44,253.28,249.43,35
"45,656.00",252.20,"35,557,540.00",252.23,253.50,250.75,36
"45,653.00",255.59,"42,355,320.00",257.83,258.70,253.06,37
"45,652.00",259.02,"27,262,980.00",258.19,260.10,257.63,38
"45,650.00",258.20,"23,234,710.00",255.49,258.21,255.29,39
"45,649.00",255.27,"40,858,770.00",254.77,255.65,253.45,40
"45,646.00",254.49,"147,495,300.00",248.04,255.00,245.69,41
"45,645.00",249.79,"60,882,260.00",247.50,252.00,247.09,42
"45,644.00",248.05,"56,774,100.00",252.16,254.28,247.74,43
"45,643.00",253.48,"51,356,360.00",250.08,253.83,249.78,44
"45,642.00",251.04,"51,694,750.00",247.99,251.38,247.65,45
"45,639.00",248.13,"33,155,290.00",247.82,249.29,246.24,46
"45,638.00",247.96,"32,777,530.00",246.89,248.74,245.68,47
"45,637.00",246.49,"45,205,810.00",247.96,250.80,246.26,48
"45,636.00",247.77,"36,914,810.00",246.89,248.21,245.34,49
"45,635.00",246.75,"44,649,230.00",241.83,247.24,241.75,50
"45,632.00",242.84,"36,870,620.00",242.91,244.63,242.08,51
"45,631.00",243.04,"40,033,880.00",243.99,244.54,242.13,52
"45,630.00",243.01,"44,383,940.00",242.87,244.11,241.25,53
"45,629.00",242.65,"38,861,020.00",239.81,242.76,238.90,54
"45,628.00",239.59,"48,137,100.00",237.27,240.79,237.16,55
"45,625.00",237.33,"28,481,380.00",234.81,237.81,233.97,56
